month	totals
2010-01	15346
2010-02	14929
2010-03	19380
2010-04	15922
2010-05	13890
2010-06	14432
2010-07	12848
2010-08	14183
2010-09	13743
2010-10	14371
2010-11	15005
2010-12	15546
2011-01	13324
2011-02	15154
2011-03	19479
2011-04	17025
2011-05	15458
2011-06	15027
2011-07	13519
2011-08	13583
2011-09	14477
2011-10	14842
2011-11	15588
2011-12	18592
2012-01	17958
2012-02	19861
2012-03	22234
2012-04	19172
2012-05	18426
2012-06	17348
2012-07	16544
2012-08	18497
2012-09	16902
2012-10	18761
2012-11	22547
2012-12	29246
2013-01	31886
2013-02	24128
2013-03	31213
2013-04	29703
2013-05	22706
2013-06	22597
2013-07	22598
2013-08	23489
2013-09	21666
2013-10	20189
2013-11	22530
2013-12	21633
2014-01	28542
2014-02	29640
2014-03	36553
2014-04	20715
2014-05	14437
2014-06	13270
2014-07	12620
2014-08	16479
2014-09	22160
2014-10	24547
2014-11	23451
2014-12	27883
2015-01	24791
2015-02	24291
2015-03	30302
2015-04	26677
2015-05	24571
2015-06	24605
2015-07	22195
2015-08	21514
2015-09	21775
2015-10	23918
2015-11	26438
2015-12	36673
2016-01	31712
2016-02	32110
2016-03	35332
2016-04	32657
2016-05	29247
2016-06	33475
2016-07	29755
2016-08	27353
2016-09	14955
2016-10	16048
2016-11	17223
2016-12	17825
2017-01	15073
2017-02	15209
2017-03	18787
2017-04	16406
2017-05	16149
2017-06	16504
2017-07	14525
2017-08	14019
2017-09	12117
2017-10	13201
2017-11	14334
2017-12	15455
2018-01	13775
2018-02	15617
